,article,label
58,"The former president of an airline at the center of a financial scandal at Newport News-Williamsburg International Airport was sentenced Thursday to two years in prison for fraud in connection with the failure of People Express Airlines in 2014 and the filing of a false income tax return.

Michael Morisi, 59, of Suffolk, is the former president of People Express which engaged in failed start-up operations at the Newport News/Williamsburg International Airport, according to court papers.

He pleaded guilty last July to wire fraud and filing a false federal income tax return.

He faced 23 years on the two charges.

Federal prosecutors said Morisi led the push to get the airline operational, despite a failed track record of getting private investments and significant outstanding liabilities.

A switch to a focus on the public commitment of funds led to PEX obtaining a $5 million loan from TowneBank that was guaranteed by the Peninsula Airport Commission. The loan was funded in June 2014.

Within a month, PEX had drawn down nearly the entire loan amount. PEX operated for approximately three months before suspending service. In the aftermath of the suspension of operations, various creditors sought repayment from PEX in 2014 and 2015, according to a news release from the U.S. Attorneyâs Office for the Eastern District of Virginia.

At the same time, Morisi opened new bank accounts to receive insurance proceeds and avoid the seizure of funds.

Morisi gave false representations to creditors (including the PAC, which paid more than $4 million to satisfy the TowneBank loan) claiming that no funds were available, according to court documents.

He made large purported back salary payments to himself and other executives in lieu of paying creditors, prosecutors said.

When the first bank account was made subject to a state tax lien, Morisi moved accounts again so that he could receive and divert additional insurance proceeds. He also filed false tax returns for three years omitting income and failed to file returns for two additional years, according to the U.S. Attorneyâs Office.

In early 2017, a state audit at the airport dug into the matter of the Peninsula Airport Commission using taxpayer dollars to back the $5 million line of credit.

The 2017 audit caused another airline, Elite Airways, to withdraw from a plan to start service to the Newport News airport, citing âchallenging perceptionsâ about the airport.

Former director Ken Spirito was indicted in May on several federal finance charges, according to an Associated Press report. The indictment includes charges of money laundering, and accuses Spirito of hiding public funds that were used to finance People Express Airlines in 2014.",am
59,"A reputed drug lord on the FBI's top 10 most-wanted list was captured in western Colombia, the interior minister said Monday, in a major blow to the country's largest remaining drug cartel.

Diego Montoya, who sits alongside Osama Bin Laden as the only major alleged drug trafficker on the FBI list, is accused of leading the Norte del Valle cartel and exporting tons of cocaine to the United States. The FBI had offered a reward of $5 million for information leading to his arrest.

The FBI says Montoya is sought ""in connection with the manufacture and distribution of multiple tons of cocaine."" It said the cartel is aided by left-wing rebels as well as right-wing paramilitaries.

Montoya's brother, Eugenio Montoya Sanchez, was captured by Colombia in January.

The Norte del Valle cartel became Colombia's most powerful after the dismantling of the Medellin and Cali cartels in the 1980s and early 90s. Officials believe it is responsible for as much as 30 percent of the more than 550 tons of Colombian cocaine smuggled each year to the United States.

To protect its valuable drug routes, the cartel is believed to have worked closely with right-wing death squads whose umbrella organization, the United Self-Defense Forces of Colombia, is listed as a terrorist organization by Washington.

Authorities have been closing in on the cartel since last year, when the army killed eight members of a private army believed to be protecting Diego Montoya.

A 2006 gunfight outside the Mi Casita psychiatric hospital left 11 Colombian police officers dead, and the police may have been acting on a tip that Montoya was hiding in the home, posing as a patient. There have been charges it was an ambush.

The Christian Science Monitor reports Montoya likes fast cars. Police in 2005 seized his personal mini racetrack last year, along with 74 ranches and eight houses. He is described as heavyset and gruff, and likes to be called ""El SeÃ±or de la Guerra (War).""

Since taking office in 2002, President Alvaro Uribe, a key U.S. ally in Latin America, has approved the extradition of nearly 500 Colombians to the United States, the majority on drug-trafficking charges. For his aggressive stance, the United States has awarded Colombia with more than $700 million in annual anti-narcotic aid.

Most of those extradited have been low or midlevel drug traffickers. High-profile extraditions have included Gilberto and Miguel Rodriguez Orejuela, brothers who helped found the Cali cartel.

Colombia is the source of 90 percent of the cocaine entering the United States. Supply has remained robust despite record extraditions and eradication of coca crops.",am
60,"The uncle of Syrian President Bashar al-Assad has been sentenced to four years in prison by a Paris court for money-laundering.

Rifaat al-Assad was convicted of embezzling Syrian state funds to buy homes and offices worth â¬90m (Â£80m) to build a French property portfolio.

The 82-year-old former vice-president denies any wrongdoing. His lawyers say he will appeal.

His property assets in Paris and London will be seized, the court ruled.

Assad, who was hospitalised with internal bleeding in France in December, was not in court for the ruling and is unlikely to serve his sentence due to his age. His London property is believed to be worth â¬29m (Â£26m).

Who is Rifaat al-Assad?

He was once the second most powerful man in Syria - the military commander at the right hand of his brother Hafez, who led Syria from 1971 until his death in 2000.

Rifaat is known as the ""Butcher of Hama"" by some Syrians because of his alleged role in the bloody suppression of an anti-government uprising in the city in 1982 but he has denied any responsibility for the massacre. Between 10,000 and 20,000 people are estimated to have died.

Since 1984, when he led a failed coup against his brother, Rifaat has mostly lived in exile in France and Spain.

After Hafez died in 2000, Rifaat proclaimed himself his brother's legitimate successor. But Bashar became president.

When Syria descended into civil war in 2011 he called on his nephew to step down.

His lawyers say his political past is irrelevant to an investigation into his financial activities.

What is the case about?

Rifaat al-Assad has been under investigation in France since 2014, when the legal NGO Sherpa, which defends victims of alleged economic crimes, filed a complaint saying the value of his property empire far exceeded his known income.

Five years later, the French judicial authorities decided that he should stand trial for crimes allegedly committed between 1984 and 2016, including organised money laundering, aggravated tax fraud and misappropriation of Syrian state funds.

The trial opened on 9 December last year. Assad denied the charges, saying he was given gifts by the Saudi royal family.

His reported French fortune includes two Paris townhouses, a stud farm, a chateau and 7,300 square metres of office space in Lyon. Several luxury properties have already been seized by French authorities.

Assad and his family also have a portfolio of 507 properties in Spain valued at around â¬695m (Â£585m).

The properties were seized by the Spanish authorities in 2017 as part of a separate investigation into alleged money-laundering activities by Assad and 13 other people, who have again denied any wrongdoing.

This is the second trial of a member of a foreign ruling family in France on charges of ""ill-gotten gains"".

In October 2017, Equatorial Guinea vice president Teodorin Obiang received a three-year suspended jail term after being convicted of using public money to fund a lavish lifestyle.",am
61,"Zimbabwean anti-corruption investigators said Monday they are probing whether former First Lady Grace Mugabe fraudulently obtained a doctorate that she apparently received within months and the dissertation for which remains unpublished.

Grace, whose apparent desire to succeed her 93-year-old husband prompted the army takeover that eventually saw Robert Mugabe resign, was awarded a PhD by the University of Zimbabwe in 2014.

Critics argued at the time that Grace, 52, had not actually studied or undertaken research to earn the doctorate and that she had been handed her diploma just months after enrolling. PhDs typically require several years of full-time research and writing.

Her dissertation has never been made public, according to local media, breaking with the established policy of most Zimbabwean public universities to publish doctoral studentsâ theses.

The state-run Herald newspaper reported in 2014 that Graceâs dissertation was on the theme of âchanging social structure (and) the functions of the familyâ and that she undertook research on Zimbabwean childrenâs homes.

Grace was personally capped by then-president Mugabe, who was also the chancellor of the University of Zimbabwe, and praised by other government officials who defended the controversial degree award.

âWe confirm there is such a report and there is such a probe,â said Zimbabwe Anti-Corruption Commission spokeswoman Phyllis Chikundura who declined to provide further details.

In November 2017, Robert Mugabe fired then-vice president Emmerson Mnangagwa, a move that was seen as opening the way for his wifeâs succession. A few days later the military took control of the country, leading to Mugabeâs resignation on November 21.

Mnangagwa was sworn in as president days later and both Robert and Grace have kept a low profile since their spectacular reversal of fortune.

During the height of the upheaval, students at the University of Zimbabwe boycotted their end of term exams to call for Grace to be stripped of her PhD and Robert to be stripped of the presidency.

Grace was routinely accused of extravagant spending on luxury clothes and international travel, and of involvement in corrupt land deals.

Dubbed âGucci Graceâ, âThe First Shopperâ or even âDisGraceâ, she showed her political mettle in 2014 with her ruthless campaign against then Vice President Joice Mujuru, who was then a contender to succeed her husband.

A similar briefing campaign â conducted both publicly and behind the scenes â against Mnangagwa is widely seen as having led to her husbandâs downfall.

AFP",am
62,"The U.S. Department of the Treasury today designated drug launderer Pedro Claver Mejia Salazar (Mejia Salazar) and his narcotics money laundering network based in MedellÃ­n, Colombia pursuant to the Foreign Narcotics Kingpin Designation Act (Kingpin Act). Treasury also designated Colombian national Fredy Alonso Mira Perez (alias Fredy Colas), an important underboss in the criminal organization known as La Oficina de Envigado, as well as 10 additional individuals, and 14 entities, all based in Colombia. As a result of todayâs actions, all assets that are based in the United States or in control by U.S. persons in which the individuals and entities designated today have an interest in are frozen, and U.S. persons are generally prohibited from engaging in transactions with them.

Mejia Salazar, often acting under the authority and direction of Fredy Colas, primarily launders narcotics proceeds on behalf of La Oficina de Envigado, a group which Treasury designated pursuant to the Kingpin Act on June 26, 2014. As part of his global drug money laundering operations, Mejia Salazar and his network work closely with Lebanese-Colombian drug money launderer Ayman Saied Joumaa, also a Specially Designated Narcotics Trafficker.

âOperatives of La Oficina de Envigado have tapped into Ayman Joumaaâs international networks and successfully moved drug proceeds back to traffickers in Colombia from locations around the world, posing a major threat to U.S. interests,â said Director of Treasuryâs Office of Foreign Assets Control Director Adam Szubin. âTreasury will continue to aggressively expose and disrupt the activities of these illicit networks, wherever they may be operating.â

Mejia Salazar relies on a network of trusted family members to carry out his money laundering transactions, including his sons â Juan Carlos, Victor Gabriel, Andres Camilo, and Jose Alejandro Mejia Alzate â and his nephews â Jesus Rodolfo, Jose Albeiro, and Jose Guillermo Barco Mejia. Several entities designated today, which are owned by Mejia Salazar and his family, are also directly involved in these illicit transactions, including Grupo Empresarial Enkor Profesional S.A.S., a well-known beauty products company based in MedellÃ­n.

US Treasury press release: click here",am
63,"Published

image copyrightReuters

Former Malaysian Prime Minister Najib Razak has been charged with three counts of money laundering linked to a multi-million dollar corruption scandal.

He is accused of having received 42m ringgit ($10m; Â£8m) from state fund 1MDB in his personal bank account.

Mr Najib was arrested in July and has already been charged with breach of trust and abusing his position.

The new investigation into 1MDB began after his shock election loss in May.

He has always denied any guilt and had been cleared by Malaysian authorities while in power.

image copyrightEPA

Mr Najib, members of his family and several allies are accused of embezzling huge sums allegedly used to buy everything from artwork to high-end real estate around the globe.

The allegations played a central role in his defeat to a reformist alliance led by 93-year old political veteran Mahathir Mohamad.

Raids have been carried out in recent weeks at properties linked to Mr Najib and his wife. Police say the seizure of valuables - including designer handbags, jewellery and cash - was the biggest in Malaysian history.

1MDB, set up by Mr Najib in 2009, was meant to turn the capital, Kuala Lumpur, into a financial hub and boost the economy through strategic investments.

image copyrightGetty Images

It started to attract negative attention in early 2015 after it missed payments for some of the $11bn it owed to banks and bondholders.

Then the Wall Street Journal reported it had seen a paper trail that allegedly traced close to $700m from the fund to Mr Najib's personal bank accounts.",am
64,"Published

Spanish police have said two former IRA members - a married couple - were arrested last week as part of an investigation into money laundering and smuggling.

It has been reported that the couple are Leonard Hardy, 54, and Donna Maguire, 57.

They were arrested in Lanzarote.

Five other people were arrested and 11 searches were carried out in the provinces of Las Palmas, Alicante, Malaga and Murcia.

Spanish police said inquiries began following information indicating that money from tobacco and alcohol smuggling was being laundered through the acquisition of properties in different Spanish provinces on the Mediterranean coast and the creation of companies.

They said it involved properties with an estimated value of 10.5m euros.

image copyrightRex Features

The investigation has been assisted by Irish police and Her Majesty's Revenue and Customs.

Hardy and Maguire are married with four children and live in Dundalk, County Louth.

Hardy, originally from Belfast, received a six-year sentence in Germany in 2006, after admitting his role in a failed IRA bomb attack on a British Army barracks at Osnabruck in August 1989. He walked free because the offence happened before 1998.

Maguire, who is from Newry, received a nine-year sentence in Germany in 1995 after being found guilty of attempted murder and explosive offences over the same attack.",am
65,"Lamine Diack, the ex-head of athletics' governing body, has been jailed after being found guilty of corruption.

The Senegalese, 87, faced corruption and money-laundering charges linked to the Russian doping scandal.

Diack was convicted of accepting bribes from athletes suspected of doping to cover up test results and letting them continue competing, including in the 2012 London Olympics.

He was sentenced to four years in prison, two of them suspended.

Diack's lawyers said he would be appealing against the judgement, which they called ""unfair and inhumane"".

Diack, who was also given a maximum fine of 500,000 euros (Â£456,928), was investigated by French authorities for four years over claims he took payments of more than 3m euros to cover up cheating.

The judge said his actions had ""undermined the values of athletics and the fight against doping"".

Diack has been under house arrest in Paris since November 2015.

Previously one of the most influential figures in world sport, Diack was president of the International Association of Athletics' Federations - now World Athletics - for 16 years until he was replaced by Britain's Lord Coe in August 2015.

Diack's son Papa Massata Diack - who was banned for life from athletics in 2016 - was sentenced to five years in prison and a given a 1m euros fine (Â£913,850).

After the ruling, World Athletics released a statement in which it said it was ""disappointed this happened in our sport"" but ""grateful for the strong and clear decisions that have been taken against the individuals involved"".

Athletics' governing body added that it would like to ""reassure everyone that the reforms our congress approved in 2016 will ensure that similar actions by individuals can never happen again in our sport"".

""We are grateful for the damages awarded by the Paris Criminal Court totalling 16m euros for embezzled funds and for reputational damage suffered as a direct consequence of these crimes and the resulting media coverage,"" it added.

""As the court acknowledged, this damage has impacted World Athletics' finances and had a negative impact on World Athletics' image and reputation in a deep and lasting way. We will do everything we can to recover the monies awarded, and return them to the organisation for the development of athletics globally.""",am
66,"Mafia funds must be frozen

The U.S. Department of the Treasury today added several members of the Camorra mafia to its Specially Designated Nationals List (â SDNL â).

As a result of the designation to the SDNL, all property (money, securities, and other property) of the designated Camorra in the U.S. or in the possession or control of a U.S. person, or U.S. company must be immediately frozen and cannot be dealt with in any way.

The sanction applies to a U.S. person, a U.S. incorporated company or entity, a U.S. based partnership, joint venture, trust, group or any organization (even if Canadian parented) and any foreign branches of any of those entities.

Banks, funds, brokers, trust companies and in particular, charge and credit card companies in the U.S. or situated elsewhere but with a U.S. parent or U.S. connection (such as American Express charge cards), need to take extra precautions to confirm they are not holding funds belonging to the Camorra designated today (or the Camorra designated by previous Executive Orders).

The Camorra operate internationally and are involved in serious criminal activity including money laundering, extortion, human smuggling, kidnapping, corruption, and counterfeiting.

The Camorra were identified as significant transnational criminal organization by President Obama in 2011 pursuant to Executive Order 13581, which requires the blocking of the property of transnational criminal organizations.

The designated persons are Marco Di Lauro, Mario Riccio, Antonio Mennetta, Mariano Abete and Rosario Guarino.

Share this Post:",nam
67,"The National Accountability Bureau (NAB) on Monday filed a corruption reference against former Prime Minister Shaukat Aziz in the accountability court.

The notice from the NAB stated that former federal minister for power and water Liaquat Jatoi, former secretary Ismail Qureshi, additional secretary Yousaf Memon and ex-secretary of Alternative Energy Development Board (AEDB), Dr Naseem A Khan, have also been nominated in the case, as reported by Geo News.

The reference was filed in connection with the alleged illegal appointment of Basharat Hasan Bashir as a consultant for one of the country's top alternative energy board on a Management Position-II (MP-II) scale salary package.

According to the Express Tribune, the ex-joint secretary of water and power, Ghulam Nabi Mangrio, ex-section officer of water and power, Umar Farooq and retired air marshal and former chairman of AEDB, Shahid Hamid, are also among the accused in the NAB reference.

Allegedly, Bashir was appointed as the consultant in 2006 without following prerequisite procedures. His appointment also violated MP scale policy guidelines.

""After the expiry of his consultancy contract in May 2008, the accused Basharat Hasan Bashir illegally held the said post for almost 5 years without any extension, notification or regular appointment and kept on enjoying salary and all perks and privileges illegally in connivance with the management of AEDB,"" the NAB stated in the reference.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)",am
68,"The ruling All Progressives Congress (APC) has listed what it described as âcorruption allegationsâ against Senate President, Bukola Saraki.

The list is coming some days after Mr Saraki hinted on his intention to run for president in 2019.

In an interview with Bloomberg, the Senate President said he is âactively consideringâ running against President Muhammadu Buhari in the 2019 elections.

In a statement signed by its National Publicity Secretary, Yekini Nabena on Monday, the APC raised alarm against the use of stolen public funds to finance elections in Nigeria.

âAgainst the backdrop of the litany of corruption allegations trailing the Senate President, Sarakiâs declaration, brings to the fore our earlier call to anti-graft agencies to check the use of stolen public funds to finance elections in this country. We reiterate our position that the Nigerian electorate must have the opportunity to choose from candidates that can pass the integrity and anti-corruption test.â

The party then went on to list corruption cases against Mr Saraki.

âLet us refresh our memory on some of Sarakiâs corruption allegations:

âAllegations of fraud which led to the collapse of the Saraki family-owned SociÃ©tÃ© GÃ©nÃ©rale Bank (Saraki who was Director of the defunct bank was indicted over N1 billion alleged to have been looted from the bankâs treasury).

âMisappropriation of Kwara State funds, disregard of government due process and conversion of State government assets into his and cronies when he served as two-term governor of Kwara State.

âHistory of betrayals, treachery and sabotage â family, political party (PDP, APC), Senate, government.vSaraki was questioned by the Nigeria Police Special Fraud Unit over a N11 billion financial scandal at the defunct Intercontinental Bank.

âGluttonous property acquisitions and hidden multi-billion dollar assets spread across the world as disclosed by the Panama Papers revelations. The multi-million dollar white elephant Shonga Agricultural Project in Kwara State when Saraki served as two-term governor.

âFalsification of Senate standing order. Sarakiâs link to the N298m armoured Range Rover SUV seized by the Nigeria Customs Service. Sarakiâs link to $19.5 billion Paris Club Loan refund scandal. Oversaw budget padding in the National Assembly among other numerous corruption scandals.â

The APC accused Mr Saraki of being selfish in his political ambition and leadership of the National Assembly.

âNigerians should be wary of a man whose personal ambition will always supersede the interest of the majority and national interest as currently displayed in the National Assembly. While Saraki refuses to reconvene the National Assembly, the 2019 election budget of the Independent National Electoral Commission (INEC) is dangerously delayed, an action deliberately taken to sabotage INECâs ability to conduct free, fair, transparent and credible elections in 2019.

âWhile Saraki refuses to step down as Senate President as rightly and severally demanded by the APC-dominated Senate, he is bent on foisting a PDP-minority rule (Senate President and Deputy Senate President) in the Upper Legislative House.

ADVERTISEMENT

âThe only politics that Bukola Saraki plays is self, himself only and only himself. The interest and welfare of the people of Nigeria do not mean anything to him. Now it is the Presidency Saraki wants. And we ask with what antecedents is he doing this? Conspiracy, blackmail, treachery and vaulting ambition which overleaps itself and falls on the other, as rightly captured by William Shakespeare. Bukola Saraki will rather rule in hell than serve in paradise.

âAhead of 2019 elections, Nigerians must ensure that we never again entrust the leadership of this great country to thieves whose sole aim is treasury looting and returning us to the dark ages where impunity and institutionalised corruption was the order of the day.â

Since announcing his defection to the PDP, the APC has insisted Mr Saraki must resign since his party âdoes not enjoy a majority in the Senateâ.

The chairman of the party, Adams Oshiomole, had attacked Mr Saraki, insisting he (Saraki) relinquish his position.",am
69,"Five fraudsters who offered a âgreen' tax efficient investment scheme to wealthy investors in order to steal millions from them have been ordered to pay Â£20,611,738.

The Oxbridge alumni used their former positions as a conductor of the Vienna Philharmonic Orchestra, a solicitor and merchant banker to persuade wealthy investors to put money into their âgreenâ investment scheme.

Investors were told their money would be spent on research and development into carbon credits, but only Â£16 million of the Â£65 million was actually spent on planting trees.

Instead the group stole Â£20 million of the investorsâ money and laundered it via bank accounts and secret trusts, spending it on luxury properties in London, Australia and Dubai as well as hidden off-shore investments. They also failed to pay around Â£6.5million in tax.

On Friday 13 December at the Old Bailey, Michael Richards, Rodney Whiston-Dew and Evdoros Demetriou have been ordered to pay Â£17.7 million collectively and if they fail to return the funds in the next three months, they face further time in jail. At an earlier hearing Robert Gold and Jonathan Anwyl were ordered to repay Â£2.64 million and Â£253,934 respectively.

Manjula Nayee of the CPS said: âThese men used their elite background to persuade people to part with their money, resulting in a huge loss to the victims and the public purse.

âSeizing these assets shows that we will do everything we can to ensure that criminals do not profit by exploiting others.â

The criminal benefit
To determine how much these men had profited from their scam âgreenâ scheme, the prosecution had to consider issues around ownership of different properties, international trusts, the corporate veil, tainted gifts as well as the effect of inflation, given the offences happened over 12 years ago.

They had laundered the proceeds internationally, hiding funds in accounts across China, the British Virgin Islands, Greece and Switzerland, which all had to be taken into consideration as part of the confiscation proceedings.

The vast amount of evidence gathered to support the case for their benefit amounts resulted in an opening argument of more than 100 pages for a heavily contested hearing which lasted two weeks.

The defence presented materials to show that each money launderer had little in the way of available assets, but the CPS was able to show these claims were false by identifying Â£20,611,738 of available assets.

Manjula Nayee continued: âIt is thanks to the dedication of every member of the prosecution team that worked on this case that, we could be confident the defendants had nowhere to hide. Now they must pay the millions they owe or face further time in jail.â

Notes to editors

Manjula Nayee is a Specialist Prosecutor in the CPS Proceeds of Crime Division

Sentencing details:

Michael Richards (04/01/1962) was convicted in November 2017 of a conspiracy to cheat the public revenue, and also cheating the revenue in relation to his personal tax liability. He was sentenced to a total of 11 years' imprisonment and disqualified from being a company director. He has been ordered to pay Â£9,999,999 within three months or he faces an additional 10 years added onto his existing sentence.

Robert Gold (28/01/1968) was convicted in November 2017 of a conspiracy to cheat the public revenue, and also cheating the revenue in relation to his personal tax liability. He was sentenced to a total of 11 years' imprisonment and disqualified from being a company director. He has been ordered to pay Â£2.6 million within three months or he faces an additional nine years added onto his existing sentence.

Rodney Whiston-Dew (26/06/1951) was convicted in November 2017 of a conspiracy to cheat the public revenue, and also cheating the revenue in relation to his personal tax liability. He was sentenced to a total of 10 years' imprisonment and disqualified from being a company director. He has been ordered to pay Â£3,035,192.97 within three months or he faces an additional nine years added onto his existing sentence.

Jonathan Anwyl (7/10/1973) was convicted in November 2017 of a conspiracy to cheat the public revenue. He was sentenced to a total of five and a half years' imprisonment. He has paid his Â£253,934 order.

Evdoros Demetriou (15/6/1939) was convicted in November 2017 of a conspiracy to cheat the public revenue. He was sentenced to a total of six years' imprisonment and disqualified from being a company director. He has been ordered to pay Â£4,682,613 within three months or he faces an additional nine years added onto his existing sentence.",am
70,"Assistant Attorney General Christopher A. Wray of the Criminal Division, Enron Task Force Director Andrew Weissmann, and Assistant Director Chris Swecker of the FBI announced today that Timothy Despain, the former assistant treasurer of Enron Corp., has pleaded guilty to a charge of conspiracy to commit securities fraud.

Despain, 39, of Houston, Texas, entered the guilty plea today before Judge Ewing Werlein at U.S. District Court in Houston. As part of his plea, Despain has agreed to cooperate fully and truthfully with the Enron Task Force's ongoing criminal investigation into the collapse of Enron. Despain pleaded guilty to one count of conspiracy to commit securities fraud, and faces a maximum sentence of five years in prison and a fine of $250,000 or twice the loss.

The information and plea documents signed by Despain state that Despain was an Assistant Treasurer of Enron from approximately January 1999 until May 2002. Despain was responsible for coordinating interactions between Enron senior management and the national credit rating agencies who rated Enron's corporate debt. Despain admitted that from 1999 through the fall of 2001, he and his superiors engaged in conduct that he knew was intended to fraudulently manipulate Enron's credit rating. Despain admitted that he knew this rating was relied on by the holders and prospective purchasers of Enron's publicly traded stocks and bonds. Despain stated that during this time period he was supervised directly by the people who served as Enron's treasurersâincluding Ben Glisan, who pleaded guilty in September 2003 and is currently serving a five-year prison sentence.

Despain admitted that in communicating with representatives of the rating agencies, he and others at Enron did not truthfully present the financial position and cash and funds flow of the companyâkey factors influencing the company's rating. Among other things, Despain admitted that he and others falsely represented to credit rating agencies that Enron's cash flows from its non-regulated businesses were stable and predictable. In fact, the annual cash flow targets that Enron set for itself and reported to the rating agencies were arbitrarily based on what he and others believed was necessary to maintain Enron's investment-grade credit rating, rather than on the amount of cash flow Enron's non-regulated businesses were expected to achieve.

One example of such an improper transaction was ""Project Nahanni."" Despain admitted that, in late 1999, Enron was at least $500 million short of the cash flow target it had artificially set and then told the national rating agencies it intended to achieve for 1999. In order to make up this shortfall, Enron entered into Project Nahanni, a transaction that resulted in Enron reporting the sale of $485 million of Treasury securities as cash flow from operations. Despain admitted that he and others knew that there was no business purpose to the Project Nahanni transaction, other than to achieve Enron's desired cash flow results. Moreover, the sale of Treasury securities should not have been characterized as a sale of a merchant asset and therefore should not have been included in the cash flow from operations figures presented to the rating agencies. This transaction occurred during a time in which Enron was actively pursuing a credit rating upgrade from one of the national credit rating agencies. Despain stated that he knew at the time of the Project Nahanni transaction that if the rating agencies understood that $485 million of the reported cash flow from operations for 1999 was from the sale of Treasury securities, Enron's credit rating would have been negatively affected, and Enron would not likely have received the desired upgrade in its credit rating.

Despain also admitted that another mechanism by which Enron achieved the artificial cash flow targets it set for itself was through transactions commonly referred to within the company as ""prepays."" The reporting of the cash received from these transactions was a means of demonstrating to the rating agencies Enron's ability to recognize cash from its mark-to-market trading book. Although the prepay transactions were accounted for as commodity transactions and reflected on Enron's books as a trading liability, the transactions in substance created debt-like obligations to the financial institutions that advanced funds to Enron through the transactions. Despain and others told the rating agencies that the cash generated from Enron's trading operations was from the sale or ""monetization"" of trading contracts or the future cash flow streams from those contracts.

The agencies were led to believe that Enron was generating cash by selling an asset, when in fact Enron was generating cash by incurring a future obligation that operated as debt. Over the course of Despain's time as Assistant Treasurer, Enron's obligations under the ""prepay"" transactions grew to approximately $5 billion. Despain stated that he was directed by Enron's treasurers not to reveal to, or discuss with the credit rating agencies the nature and extent of the prepay transactions entered into by Enron.

Despain and the treasurers recognized that if the rating agencies knew about the nature and extent of Enron's prepay transactions, such information would have had a materially negative effect on Enron's credit rating.

Enron, at one time the seventh-ranked company in the United States with stock trading as high as $80 per share in August 1999, filed for bankruptcy protection on December 2, 2001 and its stock became virtually worthless.

The investigation into Enron's collapse is being conducted by the Enron Task Force, a team of federal prosecutors within the Justice Department's Criminal Division and agents from the FBI and the Internal Revenue Service Criminal Investigations Division. The Enron Task Force also has coordinated with and received considerable assistance from the Securities and Exchange Commission. The Enron Task Force is part of the President's Corporate Fraud Task Force, created in July 2002 to investigate allegations of fraud and corruption at U.S. corporations.

To date, 33 defendants have been charged in connection with the work of the Enron Task Force, including 24 former Enron executives. With the plea today, 16 defendants have so far been convicted. The Enron Task Force has obtained more than $162 million in forfeiture for restitution to victims.",am
